date,Annual Change
1950,0.41
1951,0.98
1952,1.01
1953,1.0
1954,0.99
1955,0.98
1956,1.01
1957,1.0
1958,0.99
1959,0.98
1960,1.08
1961,1.28
1962,1.26
1963,1.25
1964,1.26
1965,1.25
1966,1.27
1967,1.25
1968,1.27
1969,1.28
1970,1.01
1971,0.28
1972,0.28
1973,0.28
1974,0.31
1975,0.28
1976,0.28
1977,0.31
1978,0.28
1979,0.31
1980,0.31
1981,0.4
1982,0.43
1983,0.39
1984,0.42
1985,0.42
1986,0.39
1987,0.42
1988,0.41
1989,0.41
1990,0.71
1991,1.69
1992,1.66
1993,1.69
1994,1.66
1995,1.69
1996,1.66
1997,1.69
1998,1.69
1999,1.66
2000,1.36
2001,0.37
2002,0.35
2003,0.37
2004,0.37
2005,0.37
2006,0.36
2007,0.36
2008,0.36
2009,0.36
2010,0.36
2011,0.36
2012,0.36
2013,0.36
2014,0.38
2015,0.35
2016,0.38
2017,0.35
2018,0.37
2019,-0.02
2020,0.05
2021,0.14
2022,0.28
2023,0.39
