YEAR,U Mass Amherst,U Mass Boston,U Mass Dartmouth,U Mass Lowell,U Mass Worcester
2010,124367045.23,53261693.28,38643739.35,47640365.64,64654050.23
2011,133099021.15,59047256.51,41556941.78,52825350.29,62440430.68
2012,138834999.71,62672584.47,41921207.95,56265180.96,58267503.15
2013,149200514.71,68959545.04,43277365.72,62036555.43,57083968.52
2014,154615337.52,72272180.85,43962716.36,65427558.88,56970538.41
2015,164848285.34,79243557.17,45421019.55,69015842.1,57567930.81
2016,171657496.26,82677298.52,46020891.11,72841577.9,57006191.51
2017,179492422.32,82705818.81,47158132.15,76210821.22,58397825.57
2018,185959509.48,83195328.78,48090527.31,81961000.69,59858062.99
2019,193418862.46,82651784.28,48863981.85,85102636.35,62027210.02
2020,198679640.15,80935775.4,48238078.52,86644252.5,64801947.52
2021,200484207.88,81085732.36,47384691.52,87032469.96,69366844.29
2022,214402451.19,85037076.52,50572669.54,91834445.33,74161953.83
2023,221818388.16,86842269.46,51083424.08,92711761.1,79532791.09
2024,58666630.14,23968392.63,13700016.37,24148013.74,20649017.09
