YEAR,POSITION_TITLE,PAY_TOTAL_ACTUAL,ANNUAL_RATE,DEPARTMENT_LOCATION_ZIP_CODE,Job
2010,Athletic Coach,86210.02,86886.54,U Mass Amherst,Coach
2010,Athletic Coach,87312.75,87998.04,U Mass Amherst,Coach
2010,"Head Coach, Track",103948.43,104764.14,U Mass Amherst,Coach
2010,Head Coach,30910.05,172550.223,U Mass Lowell,Coach
2010,Head Coach Men's Ice Hockey,143846.56,172550.223,U Mass Lowell,Coach
2010,Academic Coord/Head Coach,64457.94,64716.6,U Mass Dartmouth,Coach
2010,Assistant Athletic Coach,32969.17,32408.48,U Mass Amherst,Coach
2010,Athletic Coach,100833.13,91996.32,U Mass Amherst,Coach
2010,"Head Coach, Track",80003.63,80631.46,U Mass Amherst,Coach
2010,Aquatics Dir/Hd Coach M&W Swim,52102.09,52510.9,U Mass Dartmouth,Coach
2010,Athletic Coach,237767.13,235398.02,U Mass Amherst,Coach
2010,Asst Dir Athletics/Head Coach,67502.19,73453.9,U Mass Dartmouth,Coach
2010,Head Coach,28020.56,72065.02,U Mass Lowell,Coach
2010,Athletic Coach,87454.14,88140.52,U Mass Amherst,Coach
2010,Assistant Athletic Coach,89453.02,90155.0,U Mass Amherst,Coach
2010,Athletic Coach,104457.23,105276.86,U Mass Amherst,Coach
2010,Athletic Coach,137656.43,135713.24,U Mass Amherst,Coach
2010,Athletic Coach,93708.01,94443.18,U Mass Amherst,Coach
2010,Athletic Coach,73081.1,73654.62,U Mass Amherst,Coach
2010,Athletic Coach,80085.77,80714.14,U Mass Amherst,Coach
2010,Assistant Athletic Coach,35111.52,37495.38,U Mass Amherst,Coach
2010,Assistant Athletic Coach,58572.47,59031.96,U Mass Amherst,Coach
2010,Athletic Coach,43904.71,44249.14,U Mass Amherst,Coach
2010,Assistant Athletic Coach,36671.77,36959.52,U Mass Amherst,Coach
2010,Assistant Athletic Coach,103407.2,88343.84,U Mass Amherst,Coach
2010,Head Basketball Coach,80299.68,145062.84,U Mass Amherst,Coach
2010,Assistant Athletic Coach,72337.65,61799.92,U Mass Amherst,Coach
2010,Head Coach,7223.03,45000.02,U Mass Lowell,Coach
2010,Assistant Athletic Coach,65870.82,66387.62,U Mass Amherst,Coach
2010,Head Football Coach,203919.44,202999.94,U Mass Amherst,Coach
2010,Assistant Athletic Coach,89429.09,90130.82,U Mass Amherst,Coach
2010,Assistant Athletic Coach,89027.3,89725.74,U Mass Amherst,Coach
2010,Assistant Athletic Coach,60811.97,61289.02,U Mass Amherst,Coach
2010,Assistant Athletic Coach,36255.69,36540.14,U Mass Amherst,Coach
2010,Assistant Athletic Coach,42298.3,42630.12,U Mass Amherst,Coach
2010,Assistant Athletic Coach,26523.64,30375.02,U Mass Amherst,Coach
2010,Head Women's Soccer Coach,46808.82,47176.084,U Mass Boston,Coach
2010,Head Mens Baseball Coach,49287.98,55635.58,U Mass Boston,Coach
2010,Assistant Athletic Coach,100709.87,101500.1,U Mass Amherst,Coach
2010,Associate Head Coach,13603.47,43863.083,U Mass Lowell,Coach
2010,Assistant Athletic Coach,36384.71,60000.2,U Mass Amherst,Coach
2010,Assistant Athletic Coach,89027.3,89725.74,U Mass Amherst,Coach
2010,Head Women's Ice Hockey Coach,44493.43,50742.38,U Mass Boston,Coach
2010,Assistant Athletic Coach,27662.52,27879.54,U Mass Amherst,Coach
2010,Head Hockey Coach,49751.07,50141.528,U Mass Boston,Coach
2010,Assistant Athletic Coach,27662.52,27879.54,U Mass Amherst,Coach
2010,Athletic Coach,59945.86,65679.64,U Mass Amherst,Coach
2010,Assistant Athletic Coach,29300.25,35534.72,U Mass Amherst,Coach
2010,Assistant Athletic Coach,9692.34,36000.12,U Mass Amherst,Coach
2010,Athletic Coach,34154.02,80000.18,U Mass Amherst,Coach
2010,Assistant Athletic Coach,40284.35,40600.3,U Mass Amherst,Coach
2010,Hd Cross Country & Track Coach,30000.44,43333.42,U Mass Boston,Coach
2010,Athletic Coach,75581.45,73033.74,U Mass Amherst,Coach
2010,Assistant Athletic Coach,37363.05,37656.06,U Mass Amherst,Coach
2010,Asst Women's Basketball Coach,50032.8,50425.484,U Mass Lowell,Coach
2010,Assistant Athletic Coach,27654.47,27871.48,U Mass Amherst,Coach
2010,Head Women's Softball Coach,41794.62,46334.86,U Mass Boston,Coach
2010,Assistant Athletic Coach,11538.6,30000.1,U Mass Amherst,Coach
2010,Head Basketball Coach,489025.92,218225.28,U Mass Amherst,Coach
2010,Assistant Athletic Coach,100709.87,101500.1,U Mass Amherst,Coach
